spotify.id,allmusic.id
2503,3223
2503,14070
2503,3154
2503,14046
21312,617
2504,13993
2504,14153
2504,5709
2504,29229
2504,14042
2510,4257
2510,4275
2510,4269
2511,4273
2511,4255
24449,7903
24419,32458
2515,7756
9241,9921
9188,26270
9188,22701
9188,22765
9188,22717
9188,2696
9188,22894
24414,26270
24414,22701
24414,22765
24414,22717
24414,2696
24414,22894
18490,33505
2528,15113
2528,33868
2528,15097
2529,25117
2529,6636
2529,25461
2529,5760
2529,1295
18466,25117
18466,6636
18466,25461
18466,5760
18466,1295
2590,28423
2590,28404
2530,292
2530,15640
2530,32952
2530,35399
2530,35386
2530,79
2530,15684
2530,32914
2530,7634
2530,30116
2534,13488
2534,17605
2534,17524
24389,33369
2538,4258
2538,4272
2538,4270
24436,5715
24436,523
2541,2645
2541,17050
2542,5417
2542,5511
2542,22888
2542,22946
2542,22980
2544,2431
2544,2913
2547,16577
2547,16449
2547,17971
2549,5730
2551,25620
2551,7083
2553,14157
2553,27824
2553,27598
2553,27978
2558,30714
2558,30715
24445,14011
24445,17071
24445,17066
24445,16423
24445,14018
2560,33271
2561,13440
2562,11858
2562,11851
2562,17525
2562,11867
2562,11866
2562,17656
2562,28635
2562,11857
2562,11850
2562,11859
2562,17486
2568,20478
2568,3065
2573,17571
2573,17673
2573,17570
2573,17747
2574,602
2579,4710
2579,4278
2579,28335
2581,17056
14129,1765
14129,30707
18495,13472
2589,4256
2589,4274
2593,13429
2593,13492
2593,17666
2593,17609
2593,13349
2593,17559
2594,16575
2594,16456
2594,17882
2594,16561
2594,27772
2594,17783
2594,14427
2594,14487
2595,4757
24426,526
14083,22949
14083,22977
14083,22885
2601,22949
2601,22977
2601,22885
9258,7057
2606,7057
2608,13369
2608,13589
2608,13387
2608,4902
2608,13353
2608,10065
24526,33370
2641,17547
2641,17660
2641,17607
24528,17568
24528,6385
24528,17576
24528,17671
24528,17615
2613,4901
2613,13385
2613,13356
21324,17545
21324,17608
21324,17557
21324,17663
24488,28294
24488,14095
24488,28286
24488,28255
21325,34941
21325,34949
18555,34941
18555,34949
9296,28467
9296,16591
2652,5005
21336,596
21336,1504
24530,23732
24530,23661
24530,1514
24530,23648
24530,23711
24530,23769
24530,2929
2650,13598
2648,32939
2648,34959
2648,32941
2648,34116
2648,35415
2648,34115
2648,32940
9358,13427
9358,1358
9358,12336
9358,12319
2628,17969
2628,16585
2628,14480
2628,16583
2628,16448
2628,27776
2632,4900
2701,17049
2701,2648
2634,5361
14225,24121
14225,6891
2651,13994
9272,24877
9272,32877
9272,35362
9272,24873
9272,30942
24549,24877
24549,32877
24549,35362
24549,24873
24549,30942
2658,16586
2658,27777
2658,5727
2658,16582
2658,14482
2658,17972
2658,14428
2658,17903
2662,4262
2662,4263
2720,4262
2720,4263
18556,33111
18556,17131
2663,33111
2663,17131
21332,981
21332,1109
14175,30135
2672,13483
2672,13432
2718,7929
2682,22061
2682,22085
2682,6474
2682,1303
2682,22052
2682,6405
2682,6509
2682,6406
2697,27701
2697,17745
2697,17067
2697,8010
2697,17594
2697,17737
2697,17597
2697,17497
2687,17032
2687,2909
2699,13409
2702,1305
2702,22067
2702,22094
2702,22198
2702,22125
2702,6515
2702,6475
2702,5831
2702,6423
2702,22121
2703,9502
2703,9706
14221,27614
14221,15118
14221,27615
2714,13410
14215,13339
2715,13339
9351,33573
2731,9691
18527,14477
18523,19381
2758,13414
2758,1416
2800,17966
2800,16447
2800,16578
24640,28298
2742,17325
2743,6047
2743,6052
2743,6054
2764,5723
24647,5723
24588,21489
2748,13922
2748,13883
2844,13448
9419,8991
2818,27566
9441,8992
2761,5627
24626,18994
2765,17238
24621,34030
24621,10769
24621,34056
24621,33433
14328,5617
14328,22332
24628,11842
24593,17068
2816,17068
2780,17548
2780,17633
2780,2544
2780,13487
2780,17549
2780,17646
2780,17634
2786,10611
2786,35280
2787,29742
2787,29740
2863,13490
2801,28466
2801,7345
2813,17542
2813,17640
2813,2542
2813,13479
2814,13984
2815,13491
2820,8451
2824,19280
2824,19295
2827,5391
2827,13275
2828,5514
2828,22955
2828,22890
2828,5421
2828,8950
2828,22979
2859,27702
2859,13452
2859,13467
2859,13466
2859,24903
2829,27702
2829,13452
2829,13467
2829,13466
2829,24903
2840,32674
