node1,label,node2
https://www.allmusic.com/style/doom-metal-ma0000004496,in,cluster_7277
"                Inspired largely by the lumbering dirges and stoned, paranoid darkness of Black Sabbath, doom metal is one of the very few heavy metal subgenres to prize feel and mood more than flashy technique (though the latter can certainly be present). Even more indebted to Sabbath than most metal, doom metal is extremely slow, sludgy, and creepy, feeling so heavy it can barely move; its deliberate pace and murky guitars are meant to evoke (what else?) a sense of impending doom. The movement began to take shape in the mid-'80s, as underground bands like the SST label's Saint Vitus, the critically acclaimed Trouble, and Sweden's Candlemass attracted cult audiences for their out-of-fashion, Sabbath-dominated sounds. Trouble and Cathedral helped bring doom metal to a wider (though not mainstream) metal audience during the early '90s, and doom's monolithic darkness quickly made it appealing to a variety of tastes. Doom metal was one of the formative influences on the retro-obsessed stoner metal movement of the '90s, and it was not uncommon for bands to find favor in both camps. Another dominant strain of '90s doom metal -- pioneered by British bands like Paradise Lost, My Dying Bride, and Anathema -- fused Sabbath heaviness with the sounds and sensibilities of goth-metal, plus occasional touches of death metal; the results were sorrowful, gloomy epics. The '90s also birthed a unique doom metal scene centered in New Orleans; the sound of bands like Crowbar and Eyehategod was often described as sludge metal because of their heavy debt to early Seattle grunge bands like the Melvins and Soundgarden. Several doom metal bands incorporated progressive tendencies, though this approach was much less widespread.            ",in,cluster_9783
https://www.allmusic.com/artist/carl-montgomery-mn0000137110,in,cluster_20117
https://www.allmusic.com/song/rid-of-me-mt0004182277,in,cluster_22633
0.0049889608322899,in,cluster_21623
https://www.allmusic.com/song/grand-ole-opry-song-mt0011916674,in,cluster_29369
https://www.allmusic.com/artist/hilo-brown-mn0001245527,in,cluster_7277
https://www.allmusic.com/style/romanian-ma0000002834,in,cluster_27193
https://www.allmusic.com/song/black-friday-mt0008966249,in,cluster_22633
https://www.allmusic.com/song/only-love-can-break-your-heart-mt0059552388,in,cluster_22633
https://www.allmusic.com/artist/neil-young-mn0000379125,in,cluster_40220
https://www.allmusic.com/artist/george-grantham-mn0000127902,in,cluster_46504
George Grantham,in,cluster_40285
https://www.allmusic.com/song/loves-gonna-live-here-mt0027764811,in,cluster_29369
Love's Gonna Live Here,in,cluster_40644
https://www.allmusic.com/artist/teyana-taylor-mn0001984584,in,cluster_46504
Forthright R&B artist (also an actor and dancer/choreographer) who has hit the Top 20 with releases through Kanye West's G.O.O.D. Music.,in,cluster_40285
https://www.allmusic.com/artist/niklas-paschburg-mn0003647980,in,cluster_46504
https://www.allmusic.com/artist/curtis-salgado-mn0000117960,in,cluster_46504
1980s - 2020s,in,cluster_20896
https://www.allmusic.com/style/latin-psychedelia-ma0000013626,in,cluster_27193
in,cluster_7468
https://www.allmusic.com/song/why-cant-i-be-you--mt0007516608,in,cluster_12661
https://www.allmusic.com/artist/porl-thompson-mn0000298582,in,cluster_25413
https://www.allmusic.com/style/broken-beat-ma0000004475,in,cluster_20117
https://www.allmusic.com/song/spring-rain-mt0001773666,in,cluster_22633
0.7547880932235982,in,cluster_21623
https://www.allmusic.com/song/here-there-and-everywhere-mt0020301956,in,cluster_29369
0.6033382047534804,in,cluster_40644
https://www.allmusic.com/style/duranguense-ma0000004460,in,cluster_27193
https://www.allmusic.com/artist/christopher-tricky-stewart-mn0000733262,in,cluster_46504
https://www.allmusic.com/song/sweet-jane-mt0004211588,in,cluster_22633
https://www.allmusic.com/style/alternative-pop-rock-ma0000002422,in,cluster_40220
https://www.allmusic.com/song/you-wont-see-me-mono--mt0048519396,in,cluster_22633
https://www.allmusic.com/style/early-pop-rock-ma0000002763,in,cluster_40220
https://www.allmusic.com/artist/nick-ashford-mn0003734045,in,cluster_19593
https://www.allmusic.com/artist/earl-burrows-mn0001322400,in,cluster_19593
https://www.allmusic.com/artist/arthur-sullivan-mn0001222664,in,cluster_46504
"Sullivan is remembered for operettas he wrote with Gilbert, best known of which are The Mikado, The Pirates of Penzance, H.M.S. Pinafore, and The Gondoliers.",in,cluster_40285
https://www.allmusic.com/song/all-my-love-mt0018753652,in,cluster_9783
2.7429149797570853e-05,in,cluster_9783
